split_index	split_seed	method	num_hits_total	num_hits_in_graph	num_train_hits	num_test_hits	num_seeds	num_candidates	num_positives	auprc	positive_rate	recall_at_10	precision_at_10	enrichment_at_10	recall_at_20	precision_at_20	enrichment_at_20	recall_at_50	precision_at_50	enrichment_at_50	recall_at_100	precision_at_100	enrichment_at_100	recall_at_200	precision_at_200	enrichment_at_200	ppr_iterations	ppr_residual	ppr_converged	null_repeats_completed	random_repeats	matched_seed_repeats_requested
0	101	ppr	28	24	16	8	16	224.0	8.0	0.374	0.0285081209892482	0.131	0.1	2.808059260595384	0.26	0.1	2.792394504710465	0.5	0.07	2.25	0.74	0.07	1.67	0.882	0.037	0.98	41.0	0.00072	1.0			
0	101	weighted_degree	28	24	16	8	16	224.0	8.0	0.173	0.0270649253599889	-0.0	-0.0	-0.0	0.12	0.04	1.4	0.25	0.04	1.13	0.5	0.03	1.12	0.75	0.03	0.83						
0	101	random	28	24	16	8	16	224.0	8.0	0.055	0.0386560816961235	-0.0	0.0	-0.0	0.117	0.05	1.4	0.25	0.05	1.12	0.371	0.03	0.84	0.75	0.02	0.84				50.0	50.0	
0	101	matched_random_seed_ppr	28	24	16	8	16	224.0	8.0	0.284	0.0332549589600692	0.134	0.1	2.800538713268423	0.25	0.1	2.8026305922757215	0.384	0.06	1.69	0.627	0.04	1.4	0.871	0.03	0.98	40.0	0.0	1.0	10.0		10.0
1	202	ppr	28	24	16	8	16	224.0	8.0	0.417	0.033222309477254	0.26	0.2	5.6002665866996475	0.369	0.16	4.2	0.5	0.07	2.24	0.623	0.05	1.4	0.878	0.042	0.98	37.0	-0.00602	1.0			
1	202	weighted_degree	28	24	16	8	16	224.0	8.0	0.226	0.0291035142236412	0.121	0.1	2.791136705193833	0.133	0.05	1.4	0.371	0.06	1.69	0.5	0.04	1.12	0.876	0.027	0.98						
1	202	random	28	24	16	8	16	224.0	8.0	0.079	0.0348795245281177	0.133	0.1	2.8039917637466654	0.127	0.05	1.4	0.25	0.04	1.11	0.383	0.04	0.83	0.62	0.016	0.7083800169347366				50.0	50.0	
1	202	matched_random_seed_ppr	28	24	16	8	16	224.0	8.0	0.31	0.0375682986166158	0.128	0.1	2.7903427284915465	0.25	0.1	2.7928309627030887	0.5	0.07	2.25	0.626	0.05	1.4	0.871	0.035	0.99	38.0	0.00545	1.0	10.0		10.0
2	303	ppr	28	24	16	8	16	224.0	8.0	0.397	0.0436313044682732	0.116	0.1	2.7927154502029397	0.372	0.15	4.2	0.631	0.1	2.804337154808819	0.75	0.07	1.68	1.0	0.05	1.13	43.0	-0.00908	1.0			
2	303	weighted_degree	28	24	16	8	16	224.0	8.0	0.238	0.0428494163616945	0.132	0.1	2.8060300443025774	0.25	0.1	2.8044085130342	0.38	0.05	1.69	0.63	0.04	1.4	0.882	0.035	0.97						
2	303	random	28	24	16	8	16	224.0	8.0	0.05	0.037114015330437	0.0	0.0	0.0	0.0	0.0	0.0	0.122	0.01	0.56	0.5	0.03	1.13	0.76	0.03	0.83				50.0	50.0	
2	303	matched_random_seed_ppr	28	24	16	8	16	224.0	8.0	0.328	0.0376179488701149	0.26	0.2	5.602821281876879	0.25	0.1	2.7952035239949855	0.376	0.05	1.69	0.74	0.06	1.67	0.867	0.031	0.99	42.0	0.00531	1.0	10.0		10.0
